JAHR;TYPE;ANZAHL
2011;Großunternehmen;48
2011;Kleinstunternehmen;28937
2011;Kleinunternehmen;2547
2011;Mittlere Unternehmen;475
2012;Großunternehmen;44
2012;Kleinstunternehmen;28498
2012;Kleinunternehmen;2588
2012;Mittlere Unternehmen;478
2013;Großunternehmen;46
2013;Kleinstunternehmen;28547
2013;Kleinunternehmen;2655
2013;Mittlere Unternehmen;460
2014;Großunternehmen;44
2014;Kleinstunternehmen;29926
2014;Kleinunternehmen;2704
2014;Mittlere Unternehmen;457
2015;Großunternehmen;40
2015;Kleinstunternehmen;29875
2015;Kleinunternehmen;2635
2015;Mittlere Unternehmen;472
2016;Großunternehmen;46
2016;Kleinstunternehmen;29930
2016;Kleinunternehmen;2669
2016;Mittlere Unternehmen;464
2017;Großunternehmen;44
2017;Kleinstunternehmen;31894
2017;Kleinunternehmen;2707
2017;Mittlere Unternehmen;479
2018;Großunternehmen;44
2018;Kleinstunternehmen;32414
2018;Kleinunternehmen;2756
2018;Mittlere Unternehmen;489
2019;Großunternehmen;50
2019;Kleinstunternehmen;32327
2019;Kleinunternehmen;2755
2019;Mittlere Unternehmen;510
2020;Großunternehmen;43
2020;Kleinstunternehmen;32427
2020;Kleinunternehmen;2770
2020;Mittlere Unternehmen;500
2021;Großunternehmen;46
2021;Kleinstunternehmen;33678
2021;Kleinunternehmen;2839
2021;Mittlere Unternehmen;513
2022;Großunternehmen;46
2022;Kleinstunternehmen;33947
2022;Kleinunternehmen;2872
2022;Mittlere Unternehmen;511
2023;Großunternehmen;50
2023;Kleinstunternehmen;34802
2023;Kleinunternehmen;2867
2023;Mittlere Unternehmen;513
