JAHR;GRUPPE;ANZAHL
2002;bis 20 Jahre;127844
2002;zw. 20 und 64 Jahren;340322
2002;über 65 Jahre;91767
2003;bis 20 Jahre;125621
2003;zw. 20 und 64 Jahren;341013
2003;über 65 Jahre;91989
2004;bis 20 Jahre;123596
2004;zw. 20 und 64 Jahren;341422
2004;über 65 Jahre;93008
2005;bis 20 Jahre;122077
2005;zw. 20 und 64 Jahren;340708
2005;über 65 Jahre;96141
2006;bis 20 Jahre;120356
2006;zw. 20 und 64 Jahren;339403
2006;über 65 Jahre;99518
2007;bis 20 Jahre;118589
2007;zw. 20 und 64 Jahren;338546
2007;über 65 Jahre;102258
2008;bis 20 Jahre;117317
2008;zw. 20 und 64 Jahren;338512
2008;über 65 Jahre;103886
2009;bis 20 Jahre;115663
2009;zw. 20 und 64 Jahren;338313
2009;über 65 Jahre;105486
2010;bis 20 Jahre;113478
2010;zw. 20 und 64 Jahren;337534
2010;über 65 Jahre;106986
2011;bis 20 Jahre;111433
2011;zw. 20 und 64 Jahren;338281
2011;über 65 Jahre;107004
2012;bis 20 Jahre;109103
2012;zw. 20 und 64 Jahren;337935
2012;über 65 Jahre;108989
2013;bis 20 Jahre;107295
2013;zw. 20 und 64 Jahren;337233
2013;über 65 Jahre;110945
2014;bis 20 Jahre;105687
2014;zw. 20 und 64 Jahren;337303
2014;über 65 Jahre;112891
2015;bis 20 Jahre;104591
2015;zw. 20 und 64 Jahren;338087
2015;über 65 Jahre;114963
2016;bis 20 Jahre;104513
2016;zw. 20 und 64 Jahren;339429
2016;über 65 Jahre;116540
2017;bis 20 Jahre;103847
2017;zw. 20 und 64 Jahren;339054
2017;über 65 Jahre;118176
2018;bis 20 Jahre;103159
2018;zw. 20 und 64 Jahren;337765
2018;über 65 Jahre;119974
2019;bis 20 Jahre;102224
2019;zw. 20 und 64 Jahren;336924
2019;über 65 Jahre;121791
2020;bis 20 Jahre;101595
2020;zw. 20 und 64 Jahren;335830
2020;über 65 Jahre;123868
2021;bis 20 Jahre;101112
2021;zw. 20 und 64 Jahren;335257
2021;über 65 Jahre;125720
2022;bis 20 Jahre;101421
2022;zw. 20 und 64 Jahren;334553
2022;über 65 Jahre;128539
2023;bis 20 Jahre;102304
2023;zw. 20 und 64 Jahren;335434
2023;über 65 Jahre;131246
2024;bis 20 Jahre;102104
2024;zw. 20 und 64 Jahren;333477
2024;über 65 Jahre;134163
