JAHR;TYPE;ANZAHL
2011;Auspendelnde Ktn/Stmk;-6312
2011;Auspendelnde Ö;-9706
2011;Einpendelnde Ktn/Stmk;21259
2011;Einpendelnde Ö;4647
2012;Auspendelnde Ktn/Stmk;-6386
2012;Auspendelnde Ö;-10071
2012;Einpendelnde Ktn/Stmk;20863
2012;Einpendelnde Ö;5741
2013;Auspendelnde Ktn/Stmk;-6436
2013;Auspendelnde Ö;-9720
2013;Einpendelnde Ktn/Stmk;20980
2013;Einpendelnde Ö;3449
2014;Auspendelnde Ktn/Stmk;-6303
2014;Auspendelnde Ö;-8679
2014;Einpendelnde Ktn/Stmk;20699
2014;Einpendelnde Ö;3395
2015;Auspendelnde Ktn/Stmk;-6243
2015;Auspendelnde Ö;-8332
2015;Einpendelnde Ktn/Stmk;20675
2015;Einpendelnde Ö;3542
2016;Auspendelnde Ktn/Stmk;-6472
2016;Auspendelnde Ö;-8659
2016;Einpendelnde Ktn/Stmk;20915
2016;Einpendelnde Ö;3489
2017;Auspendelnde Ktn/Stmk;-6784
2017;Auspendelnde Ö;-9001
2017;Einpendelnde Ktn/Stmk;21171
2017;Einpendelnde Ö;3141
2018;Auspendelnde Ktn/Stmk;-7094
2018;Auspendelnde Ö;-9061
2018;Einpendelnde Ktn/Stmk;21563
2018;Einpendelnde Ö;3246
2019;Auspendelnde Ktn/Stmk;-7339
2019;Auspendelnde Ö;-8654
2019;Einpendelnde Ktn/Stmk;21767
2019;Einpendelnde Ö;3106
2020;Auspendelnde Ktn/Stmk;-7482
2020;Auspendelnde Ö;-8878
2020;Einpendelnde Ktn/Stmk;21390
2020;Einpendelnde Ö;3388
2021;Auspendelnde Ktn/Stmk;-7245
2021;Auspendelnde Ö;-9289
2021;Einpendelnde Ktn/Stmk;21730
2021;Einpendelnde Ö;3461
2022;Auspendelnde Ktn/Stmk;-7281
2022;Auspendelnde Ö;-9854
2022;Einpendelnde Ktn/Stmk;21735
2022;Einpendelnde Ö;3591
2023;Auspendelnde Ktn/Stmk;-7319
2023;Auspendelnde Ö;-9593
2023;Einpendelnde Ktn/Stmk;21491
2023;Einpendelnde Ö;3548
