JAHR;TYPE;ANZAHL
2011;Auspendler KTN/STK;-3248
2011;Auspendler Ö;-2445
2011;Einpendler KTN/STK;11918
2011;Einpendler Ö;3410
2012;Auspendler KTN/STK;-3114
2012;Auspendler Ö;-2233
2012;Einpendler KTN/STK;11537
2012;Einpendler Ö;3263
2013;Auspendler KTN/STK;-3099
2013;Auspendler Ö;-2047
2013;Einpendler KTN/STK;11090
2013;Einpendler Ö;3208
2014;Auspendler KTN/STK;-3140
2014;Auspendler Ö;-1974
2014;Einpendler KTN/STK;10689
2014;Einpendler Ö;3937
2015;Auspendler KTN/STK;-3099
2015;Auspendler Ö;-1883
2015;Einpendler KTN/STK;10796
2015;Einpendler Ö;3138
2016;Auspendler KTN/STK;-3211
2016;Auspendler Ö;-1886
2016;Einpendler KTN/STK;10782
2016;Einpendler Ö;3170
2017;Auspendler KTN/STK;-3090
2017;Auspendler Ö;-1862
2017;Einpendler KTN/STK;10677
2017;Einpendler Ö;3222
2018;Auspendler KTN/STK;-3160
2018;Auspendler Ö;-1774
2018;Einpendler KTN/STK;10548
2018;Einpendler Ö;3344
2019;Auspendler KTN/STK;-3295
2019;Auspendler Ö;-1747
2019;Einpendler KTN/STK;10477
2019;Einpendler Ö;3452
2020;Auspendler KTN/STK;-3320
2020;Auspendler Ö;-1922
2020;Einpendler KTN/STK;11149
2020;Einpendler Ö;3747
2021;Auspendler KTN/STK;-3177
2021;Auspendler Ö;-1866
2021;Einpendler KTN/STK;10894
2021;Einpendler Ö;3617
2022;Auspendler KTN/STK;-3112
2022;Auspendler Ö;-1920
2022;Einpendler KTN/STK;10428
2022;Einpendler Ö;3533
