JAHR;MONAT;ZAEHLSTELLE;FAHRZEUGKLASSE;ANZAHL
2023;12;409;Kfz;64984.0
2023;12;409;Kfz > 3,5t hzG;7275.0
2023;12;409;Kfz <= 3,5t hzG;57709.0
2023;12;415;Kfz;74384.0
2023;12;415;Kfz > 3,5t hzG;8829.0
2023;12;415;Kfz <= 3,5t hzG;65555.0
2023;12;423;Kfz;59626.0
2023;12;423;Kfz > 3,5t hzG;8316.0
2023;12;423;Kfz <= 3,5t hzG;51310.0
2023;12;961;Kfz;62463.0
2023;12;961;Kfz > 3,5t hzG;8291.0
2023;12;961;Kfz <= 3,5t hzG;54172.0
2023;12;431;Kfz;57812.0
2023;12;431;Kfz > 3,5t hzG;8177.0
2023;12;431;Kfz <= 3,5t hzG;49635.0
2023;12;977;Kfz;57548.0
2023;12;977;Kfz > 3,5t hzG;8050.0
2023;12;977;Kfz <= 3,5t hzG;49498.0
2023;12;983;Kfz;55549.0
2023;12;983;Kfz > 3,5t hzG;7943.0
2023;12;983;Kfz <= 3,5t hzG;47606.0
2023;12;439;Kfz;51952.0
2023;12;439;Kfz > 3,5t hzG;7963.0
2023;12;439;Kfz <= 3,5t hzG;43989.0
2023;12;991;Kfz;57944.0
2023;12;991;Kfz > 3,5t hzG;8201.0
2023;12;991;Kfz <= 3,5t hzG;49743.0
2023;12;999;Kfz;61760.0
2023;12;999;Kfz > 3,5t hzG;8243.0
2023;12;999;Kfz <= 3,5t hzG;53517.0
2023;12;450;Kfz;56050.0
2023;12;450;Kfz > 3,5t hzG;8154.0
2023;12;450;Kfz <= 3,5t hzG;47896.0
2023;12;978;Kfz;65163.0
2023;12;978;Kfz > 3,5t hzG;8211.0
2023;12;978;Kfz <= 3,5t hzG;56952.0
2023;12;507;Kfz;83505.0
2023;12;507;Kfz > 3,5t hzG;10062.0
2023;12;507;Kfz <= 3,5t hzG;73443.0
2023;12;4122;Kfz;96010.0
2023;12;4122;Kfz > 3,5t hzG;11385.0
2023;12;4122;Kfz <= 3,5t hzG;84625.0
2023;12;110;Kfz;92048.0
2023;12;110;Kfz > 3,5t hzG;11388.0
2023;12;110;Kfz <= 3,5t hzG;80660.0
2023;12;483;Kfz;41121.0
2023;12;483;Kfz > 3,5t hzG;4385.0
2023;12;483;Kfz <= 3,5t hzG;36736.0
2023;12;120;Kfz;51408.0
2023;12;120;Kfz > 3,5t hzG;5020.0
2023;12;120;Kfz <= 3,5t hzG;46388.0
2023;12;128;Kfz;45686.0
2023;12;128;Kfz > 3,5t hzG;4913.0
2023;12;128;Kfz <= 3,5t hzG;40773.0
2023;12;253;Kfz;42041.0
2023;12;253;Kfz > 3,5t hzG;4344.0
2023;12;253;Kfz <= 3,5t hzG;37697.0
2023;12;259;Kfz;31528.0
2023;12;259;Kfz > 3,5t hzG;3780.0
2023;12;259;Kfz <= 3,5t hzG;27748.0
2023;12;137;Kfz;33710.0
2023;12;137;Kfz > 3,5t hzG;3648.0
2023;12;137;Kfz <= 3,5t hzG;30062.0
2023;12;144;Kfz;31219.0
2023;12;144;Kfz > 3,5t hzG;3496.0
2023;12;144;Kfz <= 3,5t hzG;27723.0
2023;12;265;Kfz;35670.0
2023;12;265;Kfz > 3,5t hzG;3467.0
2023;12;265;Kfz <= 3,5t hzG;32203.0
2023;12;272;Kfz;41506.0
2023;12;272;Kfz > 3,5t hzG;3714.0
2023;12;272;Kfz <= 3,5t hzG;37792.0
2023;12;492;Kfz;58479.0
2023;12;492;Kfz > 3,5t hzG;4541.0
2023;12;492;Kfz <= 3,5t hzG;53938.0
2023;12;82;Kfz;73595.0
2023;12;82;Kfz > 3,5t hzG;5249.0
2023;12;82;Kfz <= 3,5t hzG;68346.0
2023;12;286;Kfz;82301.0
2023;12;286;Kfz > 3,5t hzG;5845.0
2023;12;286;Kfz <= 3,5t hzG;76456.0
2023;12;305;Kfz;73718.0
2023;12;305;Kfz > 3,5t hzG;4984.0
2023;12;305;Kfz <= 3,5t hzG;68734.0
2023;12;277;Kfz;63011.0
2023;12;277;Kfz > 3,5t hzG;5168.0
2023;12;277;Kfz <= 3,5t hzG;57843.0
2023;12;5022;Kfz;37748.0
2023;12;5022;Kfz > 3,5t hzG;4987.0
2023;12;5022;Kfz <= 3,5t hzG;32761.0
2023;12;190;Kfz;138721.0
2023;12;190;Kfz > 3,5t hzG;6591.0
2023;12;190;Kfz <= 3,5t hzG;132130.0
2023;12;242;Kfz;144127.0
2023;12;242;Kfz > 3,5t hzG;10219.0
2023;12;242;Kfz <= 3,5t hzG;133908.0
2023;12;273;Kfz;123922.0
2023;12;273;Kfz > 3,5t hzG;8618.0
2023;12;273;Kfz <= 3,5t hzG;115304.0
2023;12;318;Kfz;95851.0
2023;12;318;Kfz > 3,5t hzG;7124.0
2023;12;318;Kfz <= 3,5t hzG;88727.0
2023;12;394;Kfz;82099.0
2023;12;394;Kfz > 3,5t hzG;6330.0
2023;12;394;Kfz <= 3,5t hzG;75769.0
2023;12;543;Kfz;71063.0
2023;12;543;Kfz > 3,5t hzG;6139.0
2023;12;543;Kfz <= 3,5t hzG;64924.0
2023;12;505;Kfz;64526.0
2023;12;505;Kfz > 3,5t hzG;5883.0
2023;12;505;Kfz <= 3,5t hzG;58643.0
2023;12;517;Kfz;58016.0
2023;12;517;Kfz > 3,5t hzG;5352.0
2023;12;517;Kfz <= 3,5t hzG;52664.0
2023;12;11;Kfz;33788.0
2023;12;11;Kfz > 3,5t hzG;4190.0
2023;12;11;Kfz <= 3,5t hzG;29598.0
2023;12;615;Kfz;31572.0
2023;12;615;Kfz > 3,5t hzG;3978.0
2023;12;615;Kfz <= 3,5t hzG;27594.0
2023;12;633;Kfz;26913.0
2023;12;633;Kfz > 3,5t hzG;3776.0
2023;12;633;Kfz <= 3,5t hzG;23137.0
2023;12;244;Kfz;24385.0
2023;12;244;Kfz > 3,5t hzG;3776.0
2023;12;244;Kfz <= 3,5t hzG;20609.0
2023;12;348;Kfz;28230.0
2023;12;348;Kfz > 3,5t hzG;4126.0
2023;12;348;Kfz <= 3,5t hzG;24104.0
2023;12;354;Kfz;28529.0
2023;12;354;Kfz > 3,5t hzG;4175.0
2023;12;354;Kfz <= 3,5t hzG;24354.0
2023;12;361;Kfz;32529.0
2023;12;361;Kfz > 3,5t hzG;4444.0
2023;12;361;Kfz <= 3,5t hzG;28085.0
2023;12;828;Kfz;34850.0
2023;12;828;Kfz > 3,5t hzG;4627.0
2023;12;828;Kfz <= 3,5t hzG;30223.0
2023;12;373;Kfz;43601.0
2023;12;373;Kfz > 3,5t hzG;5164.0
2023;12;373;Kfz <= 3,5t hzG;38437.0
2023;12;858;Kfz;53337.0
2023;12;858;Kfz > 3,5t hzG;5717.0
2023;12;858;Kfz <= 3,5t hzG;47620.0
2023;12;480;Kfz;63880.0
2023;12;480;Kfz > 3,5t hzG;5957.0
2023;12;480;Kfz <= 3,5t hzG;57923.0
2023;12;877;Kfz;59369.0
2023;12;877;Kfz > 3,5t hzG;5603.0
2023;12;877;Kfz <= 3,5t hzG;53766.0
2023;12;886;Kfz;47538.0
2023;12;886;Kfz > 3,5t hzG;3988.0
2023;12;886;Kfz <= 3,5t hzG;43550.0
2023;12;387;Kfz;38726.0
2023;12;387;Kfz > 3,5t hzG;3641.0
2023;12;387;Kfz <= 3,5t hzG;35085.0
2023;12;395;Kfz;15324.0
2023;12;395;Kfz > 3,5t hzG;2624.0
2023;12;395;Kfz <= 3,5t hzG;12700.0
2023;12;530;Kfz;15180.0
2023;12;530;Kfz > 3,5t hzG;2683.0
2023;12;530;Kfz <= 3,5t hzG;12497.0
2023;12;534;Kfz;17102.0
2023;12;534;Kfz > 3,5t hzG;2889.0
2023;12;534;Kfz <= 3,5t hzG;14213.0
2023;12;542;Kfz;20083.0
2023;12;542;Kfz > 3,5t hzG;3049.0
2023;12;542;Kfz <= 3,5t hzG;17034.0
2023;12;551;Kfz;21329.0
2023;12;551;Kfz > 3,5t hzG;3093.0
2023;12;551;Kfz <= 3,5t hzG;18236.0
2023;12;47;Kfz > 3,5t hzG;3882.0
2023;12;558;Kfz;19245.0
2023;12;558;Kfz > 3,5t hzG;2856.0
2023;12;558;Kfz <= 3,5t hzG;16389.0
2023;12;563;Kfz;24663.0
2023;12;563;Kfz > 3,5t hzG;3039.0
2023;12;563;Kfz <= 3,5t hzG;21624.0
2023;12;212;Kfz;24257.0
2023;12;212;Kfz > 3,5t hzG;3265.0
2023;12;212;Kfz <= 3,5t hzG;20992.0
2023;12;569;Kfz;31702.0
2023;12;569;Kfz > 3,5t hzG;3540.0
2023;12;569;Kfz <= 3,5t hzG;28162.0
2023;12;576;Kfz;34284.0
2023;12;576;Kfz > 3,5t hzG;3570.0
2023;12;576;Kfz <= 3,5t hzG;30714.0
2023;12;585;Kfz;33407.0
2023;12;585;Kfz > 3,5t hzG;3509.0
2023;12;585;Kfz <= 3,5t hzG;29898.0
2023;12;54;Kfz;30006.0
2023;12;54;Kfz > 3,5t hzG;3471.0
2023;12;54;Kfz <= 3,5t hzG;26535.0
2023;12;591;Kfz;31596.0
2023;12;591;Kfz > 3,5t hzG;3483.0
2023;12;591;Kfz <= 3,5t hzG;28113.0
2023;12;60;Kfz;27242.0
2023;12;60;Kfz > 3,5t hzG;3256.0
2023;12;60;Kfz <= 3,5t hzG;23986.0
2023;12;581;Kfz > 3,5t hzG;3872.0
2023;12;588;Kfz;15736.0
2023;12;588;Kfz > 3,5t hzG;3427.0
2023;12;588;Kfz <= 3,5t hzG;12309.0
2023;12;408;Kfz > 3,5t hzG;3682.0
2023;12;595;Kfz;9354.0
2023;12;595;Kfz > 3,5t hzG;3220.0
2023;12;595;Kfz <= 3,5t hzG;6134.0
