JAHR;TYPE;ANZAHL
2002;Abwanderung Ausland;-6989
2002;Abwanderung KTN/STK;-4094
2002;Abwanderung Ö;-5295
2002;Zuwanderung Ausland;9575
2002;Zuwanderung KTN/STK;6444
2002;Zuwanderung Ö;4663
2003;Abwanderung Ausland;-6678
2003;Abwanderung KTN/STK;-4416
2003;Abwanderung Ö;-5243
2003;Zuwanderung Ausland;9490
2003;Zuwanderung KTN/STK;6093
2003;Zuwanderung Ö;5049
2004;Abwanderung Ausland;-6112
2004;Abwanderung KTN/STK;-4842
2004;Abwanderung Ö;-5520
2004;Zuwanderung Ausland;10845
2004;Zuwanderung KTN/STK;6958
2004;Zuwanderung Ö;5895
2005;Abwanderung Ausland;-6969
2005;Abwanderung KTN/STK;-4687
2005;Abwanderung Ö;-5714
2005;Zuwanderung Ausland;10018
2005;Zuwanderung KTN/STK;6839
2005;Zuwanderung Ö;5941
2006;Abwanderung Ausland;-6616
2006;Abwanderung KTN/STK;-4946
2006;Abwanderung Ö;-5859
2006;Zuwanderung Ausland;9289
2006;Zuwanderung KTN/STK;7075
2006;Zuwanderung Ö;6006
2007;Abwanderung Ausland;-7616
2007;Abwanderung KTN/STK;-5053
2007;Abwanderung Ö;-6253
2007;Zuwanderung Ausland;10614
2007;Zuwanderung KTN/STK;7011
2007;Zuwanderung Ö;6331
2008;Abwanderung Ausland;-8413
2008;Abwanderung KTN/STK;-5152
2008;Abwanderung Ö;-6262
2008;Zuwanderung Ausland;10385
2008;Zuwanderung KTN/STK;7418
2008;Zuwanderung Ö;6695
2009;Abwanderung Ausland;-8661
2009;Abwanderung KTN/STK;-5054
2009;Abwanderung Ö;-6881
2009;Zuwanderung Ausland;10138
2009;Zuwanderung KTN/STK;7503
2009;Zuwanderung Ö;6879
2010;Abwanderung Ausland;-8547
2010;Abwanderung KTN/STK;-5237
2010;Abwanderung Ö;-7008
2010;Zuwanderung Ausland;10855
2010;Zuwanderung KTN/STK;7644
2010;Zuwanderung Ö;6744
2011;Abwanderung Ausland;-9133
2011;Abwanderung KTN/STK;-5493
2011;Abwanderung Ö;-7227
2011;Zuwanderung Ausland;12253
2011;Zuwanderung KTN/STK;7794
2011;Zuwanderung Ö;7025
2012;Abwanderung Ausland;-9785
2012;Abwanderung KTN/STK;-5584
2012;Abwanderung Ö;-7453
2012;Zuwanderung Ausland;13768
2012;Zuwanderung KTN/STK;7764
2012;Zuwanderung Ö;7282
2013;Abwanderung Ausland;-9708
2013;Abwanderung KTN/STK;-5696
2013;Abwanderung Ö;-7583
2013;Zuwanderung Ausland;15439
2013;Zuwanderung KTN/STK;7596
2013;Zuwanderung Ö;7285
2014;Abwanderung Ausland;-10001
2014;Abwanderung KTN/STK;-5800
2014;Abwanderung Ö;-7934
2014;Zuwanderung Ausland;17715
2014;Zuwanderung KTN/STK;7614
2014;Zuwanderung Ö;7482
2015;Abwanderung Ausland;-10546
2015;Abwanderung KTN/STK;-6476
2015;Abwanderung Ö;-9620
2015;Zuwanderung Ausland;22439
2015;Zuwanderung KTN/STK;8910
2015;Zuwanderung Ö;8176
2016;Abwanderung Ausland;-11301
2016;Abwanderung KTN/STK;-7209
2016;Abwanderung Ö;-12012
2016;Zuwanderung Ausland;19452
2016;Zuwanderung KTN/STK;9524
2016;Zuwanderung Ö;9969
2017;Abwanderung Ausland;-11452
2017;Abwanderung KTN/STK;-6462
2017;Abwanderung Ö;-8873
2017;Zuwanderung Ausland;15967
2017;Zuwanderung KTN/STK;8208
2017;Zuwanderung Ö;8228
2018;Abwanderung Ausland;-11825
2018;Abwanderung KTN/STK;-6332
2018;Abwanderung Ö;-7677
2018;Zuwanderung Ausland;15901
2018;Zuwanderung KTN/STK;7926
2018;Zuwanderung Ö;7965
2019;Abwanderung Ausland;-11323
2019;Abwanderung KTN/STK;-5996
2019;Abwanderung Ö;-7580
2019;Zuwanderung Ausland;16410
2019;Zuwanderung KTN/STK;7547
2019;Zuwanderung Ö;7900
2020;Abwanderung Ausland;-10149
2020;Abwanderung KTN/STK;-6236
2020;Abwanderung Ö;-7554
2020;Zuwanderung Ausland;14524
2020;Zuwanderung KTN/STK;7364
2020;Zuwanderung Ö;8171
2021;Abwanderung Ausland;-2957
2021;Abwanderung KTN/STK;-2107
2021;Abwanderung Ö;-4047
2021;Zuwanderung Ausland;5360
2021;Zuwanderung KTN/STK;2498
2021;Zuwanderung Ö;3773
2022;Abwanderung Ausland;-13302
2022;Abwanderung KTN/STK;-7872
2022;Abwanderung Ö;-11117
2022;Zuwanderung Ausland;28791
2022;Zuwanderung KTN/STK;9364
2022;Zuwanderung Ö;10106
2023;Abwanderung Ausland;-13244
2023;Abwanderung KTN/STK;-6743
2023;Abwanderung Ö;-12485
2023;Zuwanderung Ausland;22962
2023;Zuwanderung KTN/STK;9458
2023;Zuwanderung Ö;10456
2024;Abwanderung Ausland;-13813
2024;Abwanderung KTN/STK;-6384
2024;Abwanderung Ö;-10126
2024;Zuwanderung Ausland;19785
2024;Zuwanderung KTN/STK;8284
2024;Zuwanderung Ö;8951
